Transaction ID,Date,Customer ID,Customer Name,Product ID,Product Name,Category,Quantity,Price,Total Amount,Discount,Final Amount,Payment Method,EMI Option,EMI Duration,EMI Monthly Payment,Branch Name
TID00001,14/08/2024,CUST6369,Anand,PROD963,LG T70SJSF1Z,washing machine,1,17319,17319,0.15,14721.15,EMI,Yes,12,1226.76,Kodungalloor
TID00002,02/08/2024,CUST7811,Anjali,PROD529,MacBook Air,laptop,5,29149,145745,0.08,134085.4,Cash,No,0,0,Kodungalloor
TID00003,22/08/2024,CUST2169,Suraj,PROD693,Dell Inspiron,laptop,2,34314,68628,0.18,56274.96,Cash,No,0,0,Kodungalloor
TID00004,07/08/2024,CUST6330,Arjun,PROD601,Samsung Twin Cooling,fridge,4,12842,51368,0.05,48799.6,Cash,No,0,0,Kodungalloor
TID00005,03/08/2024,CUST6732,Rajesh,PROD490,Samsung CE117,oven,3,27200,81600,0.16,68544,EMI,Yes,18,3808,Kodungalloor
TID00006,27/09/2024,CUST7016,Krishna,PROD971,Sony Bravia,tv,1,28495,28495,0.14,24505.7,Debit Card,No,0,0,Kodungalloor
TID00007,14/09/2024,CUST9220,Anjali,PROD796,Orient Electric,fan,4,6519,26076,0.06,24511.44,EMI,Yes,6,4085.24,Kodungalloor
TID00008,09/08/2024,CUST1753,Devi,PROD703,Samsung Galaxy S22,phone,4,20695,82780,0.01,81952.2,Cash,No,0,0,Kodungalloor
TID00009,02/08/2024,CUST1785,Arjun,PROD948,LG T70SJSF1Z,washing machine,5,38725,193625,0.13,168453.75,Credit Card,No,0,0,Kodungalloor
TID00010,29/09/2024,CUST1214,Rajesh,PROD875,IFB 30FRC2,oven,2,30157,60314,0.16,50663.76,Debit Card,No,0,0,Kodungalloor
TID00011,27/08/2024,CUST9874,Anjali,PROD107,HP Pavilion,laptop,4,1774,7096,0.11,6315.44,Credit Card,No,0,0,Kodungalloor
TID00012,01/09/2024,CUST5353,Akhil,PROD305,LG InstaView,fridge,2,36479,72958,0.16,61284.72,EMI,Yes,24,2553.53,Kodungalloor
TID00013,02/08/2024,CUST2007,Suraj,PROD858,Samsung WT75,washing machine,2,24097,48194,0.16,40482.96,Cash,No,0,0,Kodungalloor
TID00014,13/08/2024,CUST6158,Krishna,PROD448,Samsung CE117,oven,5,43771,218855,0.11,194780.95,Cash,No,0,0,Kodungalloor
TID00015,13/08/2024,CUST2253,Krishna,PROD785,Samsung Galaxy S22,phone,4,33617,134468,0.02,131778.64,Debit Card,No,0,0,Kodungalloor
TID00016,12/08/2024,CUST9725,Arjun,PROD806,Havells Turbo,fan,5,34027,170135,0.13,148017.45,EMI,Yes,6,24669.58,Kodungalloor
TID00017,08/09/2024,CUST9333,Anjali,PROD995,Bajaj Esteem,fan,2,31556,63112,0.13,54907.44,Debit Card,No,0,0,Kodungalloor
TID00018,20/09/2024,CUST7963,Lekshmi,PROD814,MacBook Air,laptop,4,38794,155176,0.2,124140.8,EMI,Yes,12,10345.07,Kodungalloor
TID00019,14/08/2024,CUST4498,Suraj,PROD963,Whirlpool Neo Fresh,fridge,3,26426,79278,0.01,78485.22,Debit Card,No,0,0,Kodungalloor
TID00020,21/09/2024,CUST6877,Arjun,PROD974,Samsung WT75,washing machine,5,9139,45695,0,45695,Cash,No,0,0,Kodungalloor
TID00021,21/09/2024,CUST3863,Akhil,PROD547,Samsung WT75,washing machine,1,23051,23051,0.04,22128.96,Cash,No,0,0,Kodungalloor
TID00022,17/09/2024,CUST1710,Rajesh,PROD898,Sony Bravia,tv,3,35801,107403,0.08,98810.76,Credit Card,No,0,0,Kodungalloor
TID00023,24/09/2024,CUST6859,Devi,PROD102,Whirlpool Neo Fresh,fridge,1,5184,5184,0.16,4354.56,Credit Card,No,0,0,Kodungalloor
TID00024,18/08/2024,CUST3216,Sreeja,PROD488,Havells Turbo,fan,3,15004,45012,0.1,40510.8,Cash,No,0,0,Kodungalloor
TID00025,16/08/2024,CUST7538,Akhil,PROD490,Samsung Galaxy S22,phone,4,34140,136560,0.14,117441.6,Credit Card,No,0,0,Kodungalloor
TID00026,16/09/2024,CUST7799,Devi,PROD155,LG OLED,tv,1,7317,7317,0.06,6877.98,Cash,No,0,0,Kodungalloor
